# R, G, B, Foreground, Background, Pixel Mode

# System Colours
0, 0, 0, BG_BLACK, BG_BLACK, PIXEL_SOLID
0, 0, 0.5, FG_DARK_BLUE, BG_BLACK, PIXEL_SOLID
0, 0.5, 0, FG_DARK_GREEN, BG_BLACK, PIXEL_SOLID
0, 0.5, 0.5, FG_DARK_CYAN, BG_BLACK, PIXEL_SOLID
0.5, 0, 0, FG_DARK_RED, BG_BLACK, PIXEL_SOLID
0.5, 0, 0.5, FG_DARK_MAGENTA, BG_BLACK, PIXEL_SOLID
0.5, 0.5, 0, FG_DARK_YELLOW, BG_BLACK, PIXEL_SOLID
0.75, 0.75, 0.75, FG_GREY, BG_BLACK, PIXEL_SOLID
0.5, 0.5, 0.5, FG_DARK_GREY, BG_BLACK, PIXEL_SOLID
0, 0, 1, FG_BLUE, BG_BLACK, PIXEL_SOLID
0, 1, 0, FG_GREEN, BG_BLACK, PIXEL_SOLID
0, 1, 1, FG_CYAN, BG_BLACK, PIXEL_SOLID
1, 0, 0, FG_RED, BG_BLACK, PIXEL_SOLID
1, 0, 1, FG_MAGENTA, BG_BLACK, PIXEL_SOLID
1, 1, 0, FG_YELLOW, BG_BLACK, PIXEL_SOLID
1, 1, 1, FG_WHITE, BG_BLACK, PIXEL_SOLID

# Other Colours
0, 0, 0.125, BG_BLACK, BG_DARK_BLUE, PIXEL_THREEQUARTERS
0, 0.125, 0, BG_BLACK, BG_DARK_GREEN, PIXEL_THREEQUARTERS
0, 0.125, 0.125, BG_BLACK, BG_DARK_CYAN, PIXEL_THREEQUARTERS
0.125, 0, 0, BG_BLACK, BG_DARK_RED, PIXEL_THREEQUARTERS
0.125, 0, 0.125, BG_BLACK, BG_DARK_MAGENTA, PIXEL_THREEQUARTERS
0.125, 0.125, 0, BG_BLACK, BG_DARK_YELLOW, PIXEL_THREEQUARTERS
0.1875, 0.1875, 0.1875, BG_BLACK, BG_GREY, PIXEL_THREEQUARTERS
0.125, 0.125, 0.125, BG_BLACK, BG_DARK_GREY, PIXEL_THREEQUARTERS
0, 0, 0.25, BG_BLACK, BG_BLUE, PIXEL_THREEQUARTERS
0, 0.25, 0, BG_BLACK, BG_GREEN, PIXEL_THREEQUARTERS
0, 0.25, 0.25, BG_BLACK, BG_CYAN, PIXEL_THREEQUARTERS
0.25, 0, 0, BG_BLACK, BG_RED, PIXEL_THREEQUARTERS
0.25, 0, 0.25, BG_BLACK, BG_MAGENTA, PIXEL_THREEQUARTERS
0.25, 0.25, 0, BG_BLACK, BG_YELLOW, PIXEL_THREEQUARTERS
0.25, 0.25, 0.25, BG_BLACK, BG_WHITE, PIXEL_THREEQUARTERS
0, 0, 0.375, FG_DARK_BLUE, BG_BLACK, PIXEL_THREEQUARTERS
0, 0.125, 0.375, FG_DARK_BLUE, BG_DARK_GREEN, PIXEL_THREEQUARTERS
0, 0.125, 0.5, FG_DARK_BLUE, BG_DARK_CYAN, PIXEL_THREEQUARTERS
0.125, 0, 0.375, FG_DARK_BLUE, BG_DARK_RED, PIXEL_THREEQUARTERS
0.125, 0, 0.5, FG_DARK_BLUE, BG_DARK_MAGENTA, PIXEL_THREEQUARTERS
0.125, 0.125, 0.375, FG_DARK_BLUE, BG_DARK_YELLOW, PIXEL_THREEQUARTERS
